batch	num	fish_id	whole_wet_weight	gutted_weight	stom_fullness	gut_fullness	liver_weight	notes
71	1	G.W.BF.01.103	2	1.8	3	3	N/A	stomach busted
71	2	G.W.BF.01.104	1.5	1.4	3	4	N/A	
71	3	G.W.BF.01.108	1.7	1.5	2	3	N/A	
71	4	G.W.BF.01.110	1	1	2	3	N/A	
71	5	G.W.BF.01.113	1.9	1.8	2	3	N/A	
71	6	G.W.BF.01.115	1.4	1.4	2	2	N/A	
71	7	G.W.BF.01.117	1.4	1.3	2	3	N/A	
71	8	G.W.BF.01.120	1.8	1.6	2	3	N/A	
72	1	G.W.BF.03.079	1.4	1.1	3	3	N/A	guts out
72	2	G.W.BF.03.080	1.5	1.3	3	3	N/A	guts open -stomach contents
72	3	G.W.BF.03.085	2	1.6	3	3	N/A	
72	4	G.W.BF.03.088	2.3	1.8	3	3	N/A	
72	5	G.W.BF.03.089	3.3	2.6	3	3	N/A	
72	6	G.W.BF.03.047	0.6	0.3	2	1	N/A	
72	7	G.W.BF.03.048	0.6	0.3	2	2	N/A	
72	8	G.W.BF.03.049	0.2	0.2	3	2	N/A	
73	1	G.W.SA.01.046	0.6	0.6	1	2	N/A	
73	2	G.W.SA.01.047	0.2	0.2	3	3	N/A	falling apart
73	3	G.W.SA.01.048	0.4	0.4	2	2	N/A	
73	4	G.W.SA.01.050	0.5	0.5	2	2	N/A	
73	5	G.W.SA.01.052	0.3	0.3	3	3	N/A	
73	6	G.W.SA.01.053	0.1	0.1	2	1	N/A	
73	7	G.W.SA.01.056	0.6	0.6	2	3	N/A	
73	8	G.W.SA.01.059	0.2	0.2	2	1	N/A	
74	1	G.W.SA.02.039	1	0.9	2	1	N/A	
74	2	G.W.SA.02.040	0.5	0.4	1	3	N/A	
74	3	G.W.SA.02.041	0.6	0.6	1	2	N/A	
74	4	G.W.SA.03.077	0.1	0.1	N/A	N/A	N/A	no stomach/guts
74	5	G.W.SA.03.078	0.2	0.2	1	2	N/A	
74	6	G.W.SA.03.080	1	0.9	3	3	N/A	
74	7	G.W.SA.03.081	0.6	0.5	3	2	N/A	
74	8	G.W.SA.03.083	0.9	0.8	4	3	N/A	
75	1	G.W.SA.03.088	2.6	2.3	3	3	0.003	
75	2	G.W.SA.03.089	1.2	1	3	3	N/A	
75	3	G.W.SA.03.092	1.8	1.6	4	4	0.007	
75	4	G.W.SA.03.093	2.3	2.1	N/A	4	N/A	stomach busted
75	5	G.W.SA.03.096	2.7	2.3	N/A	4	N/A	stomach busted
75	6	G.W.SA.03.099	1.6	1.5	2	4	N/A	
75	7	G.W.SA.03.103	1.8	1.7	N/A	4	0.007	
75	8	G.W.SA.03.104	1.9	1.7	2	3	N/A	
76	1	G.W.MG.02.043	N/A	N/A	N/A	N/A	N/A	this id is a pinfish
76	2	G.W.MG.03.042	1	0.9	4	4	N/A	
76	3	G.W.MG.03.044	0.8	0.8	3	3	N/A	
76	4	G.W.MG.03.045	0.5	0.5	N/A	2	N/A	
76	5	G.W.MG.03.046	0.4	0.3	N/A	1	N/A	
76	6	G.W.MG.03.047	0.086	0.067	N/A	N/A	N/A	dissection outside of hood
76	7	G.W.MG.03.048	0.5	0.5	N/A	N/A	N/A	
76	8	G.W.MG.03.049	0.6	0.6	1	1	N/A	
77	1	G.W.MG.03.050	0.5	0.5	3	2	N/A	croaker
77	2	G.W.MG.03.051	1.4	1.3	4	4	N/A	came out of silver perch labelled bag
77	3	G.W.MG.03.052	1.3	1.2	2	4	N/A	came out of silver perch labelled bag
77	4	G.W.MG.03.054	0.4	0.4	N/A	2	N/A	"external poop, came out of silver perch labelled bag"
77	5	G.W.MG.03.067	0.6	0.5	4	4	N/A	"external poop, came out of silver perch labelled bag"
77	6	G.W.MG.03.068	0.4	0.4	4	4	N/A	came out of silver perch labelled bag
77	7	G.W.MG.03.069	0.3	0.3	3	4	N/A	"external poop, came out of silver perch labelled bag"
77	8	G.W.MG.03.070	0.6	0.6	3	3	N/A	came out of silver perch labelled bag
78	1	G.S.AR.01.049	0.055	0.055	1	1	N/A	
78	2	G.S.AR.02.052	3.1	2.6	2	4	N/A	
78	3	G.S.AR.02.053	2.7	2.4	4	4	N/A	external poop
